date,code,label,close,source,fetched_at
1993-03-31,0001,KOSPI,666.75,kis_api,2026-08-17T02:03:27+00:00
1993-04-30,0001,KOSPI,721.57,kis_api,2026-08-17T02:03:27+00:00
1993-05-31,0001,KOSPI,752.31,kis_api,2026-08-17T02:03:27+00:00
1993-06-30,0001,KOSPI,748.87,kis_api,2026-08-17T02:03:27+00:00
1993-07-31,0001,KOSPI,729.94,kis_api,2026-08-17T02:03:27+00:00
1993-08-31,0001,KOSPI,664.88,kis_api,2026-08-17T02:03:27+00:00
1993-09-28,0001,KOSPI,718.87,kis_api,2026-08-17T02:03:27+00:00
1993-10-30,0001,KOSPI,750.72,kis_api,2026-08-17T02:03:27+00:00
1993-11-30,0001,KOSPI,811.06,kis_api,2026-08-17T02:03:27+00:00
1993-12-28,0001,KOSPI,866.18,kis_api,2026-08-17T02:03:27+00:00
1994-01-31,0001,KOSPI,945.71,kis_api,2026-08-17T02:03:27+00:00
1994-02-28,0001,KOSPI,918.88,kis_api,2026-08-17T02:03:27+00:00
1994-03-31,0001,KOSPI,867.22,kis_api,2026-08-17T02:03:27+00:00
1994-04-30,0001,KOSPI,908.72,kis_api,2026-08-17T02:03:27+00:00
1994-05-31,0001,KOSPI,939.49,kis_api,2026-08-17T02:03:27+00:00
1994-06-30,0001,KOSPI,933.36,kis_api,2026-08-17T02:03:27+00:00
1994-07-30,0001,KOSPI,927.97,kis_api,2026-08-17T02:03:27+00:00
1994-08-31,0001,KOSPI,944.23,kis_api,2026-08-17T02:03:27+00:00
1994-09-30,0001,KOSPI,1050.51,kis_api,2026-08-17T02:03:27+00:00
1994-10-31,0001,KOSPI,1105.62,kis_api,2026-08-17T02:03:27+00:00
1994-11-30,0001,KOSPI,1074.41,kis_api,2026-08-17T02:03:27+00:00
1994-12-28,0001,KOSPI,1027.37,kis_api,2026-08-17T02:03:27+00:00
1995-01-28,0001,KOSPI,925.56,kis_api,2026-08-17T02:03:27+00:00
1995-02-28,0001,KOSPI,885.69,kis_api,2026-08-17T02:03:27+00:00
1995-03-31,0001,KOSPI,931.78,kis_api,2026-08-17T02:03:27+00:00
1995-04-29,0001,KOSPI,897.0,kis_api,2026-08-17T02:03:27+00:00
1995-05-31,0001,KOSPI,882.5,kis_api,2026-08-17T02:03:27+00:00
1995-06-30,0001,KOSPI,894.41,kis_api,2026-08-17T02:03:27+00:00
1995-07-31,0001,KOSPI,933.57,kis_api,2026-08-17T02:03:27+00:00
1995-08-31,0001,KOSPI,914.06,kis_api,2026-08-17T02:03:27+00:00
1995-09-30,0001,KOSPI,982.65,kis_api,2026-08-17T02:03:27+00:00
1995-10-31,0001,KOSPI,990.26,kis_api,2026-08-17T02:03:27+00:00
1995-11-30,0001,KOSPI,930.92,kis_api,2026-08-17T02:03:27+00:00
1995-12-27,0001,KOSPI,882.94,kis_api,2026-08-17T02:03:27+00:00
1996-01-31,0001,KOSPI,878.82,kis_api,2026-08-17T02:03:27+00:00
1996-02-29,0001,KOSPI,852.83,kis_api,2026-08-17T02:03:27+00:00
1996-03-30,0001,KOSPI,874.16,kis_api,2026-08-17T02:03:27+00:00
1996-04-30,0001,KOSPI,980.9,kis_api,2026-08-17T02:03:27+00:00
1996-05-31,0001,KOSPI,903.09,kis_api,2026-08-17T02:03:27+00:00
1996-06-29,0001,KOSPI,817.43,kis_api,2026-08-17T02:03:27+00:00
1996-07-31,0001,KOSPI,821.71,kis_api,2026-08-17T02:03:27+00:00
1996-08-31,0001,KOSPI,781.49,kis_api,2026-08-17T02:03:27+00:00
1996-09-30,0001,KOSPI,789.67,kis_api,2026-08-17T02:03:27+00:00
1996-10-31,0001,KOSPI,757.59,kis_api,2026-08-17T02:03:27+00:00
1996-11-30,0001,KOSPI,726.48,kis_api,2026-08-17T02:03:27+00:00
1996-12-27,0001,KOSPI,651.22,kis_api,2026-08-17T02:03:27+00:00
1996-12-27,000660,SK하이닉스,209634.0,kis_api,2026-08-17T02:03:21+00:00
1997-01-31,0001,KOSPI,685.84,kis_api,2026-08-17T02:03:27+00:00
1997-01-31,000660,SK하이닉스,222394.0,kis_api,2026-08-17T02:03:21+00:00
1997-02-28,0001,KOSPI,676.53,kis_api,2026-08-17T02:03:27+00:00
1997-02-28,000660,SK하이닉스,328122.0,kis_api,2026-08-17T02:03:21+00:00
